,,,,,,,
,,,,,,,
LIM #, FIELD #,Collected,Delivered,NOX,NO2 ,NO3,O-Phos
Units,,,,mg/L,mg/L,mg/L,mg/L
210342-001,WLIS SFC,9/25/2019,9/2/2021,0.024,0.012,0.012,0.051
210342-002,WLIS SFC,9/25/2019,9/2/2021,0.024,0.013,0.011,0.052
210342-003,ARTG SFC,9/25/2019,9/2/2021,0.004,0.009,ND,0.047
210342-004,ARTG SFC,9/25/2019,9/2/2021,0.006,0.009,ND,0.036
210342-005,EXRX SFC,9/25/2019,9/2/2021,0.24,0.039,0.201,0.055
210342-006,ARTG SFC,11/14/2019,9/2/2021,0.1,0.012,0.088,0.036
210342-007,ARTG SFC,11/14/2019,9/2/2021,0.101,0.014,0.087,0.04
210342-008,CLIS SFC,11/14/2019,9/2/2021,0.089,0.009,0.08,0.032
210342-009,CLIS SFC,11/14/2019,9/2/2021,0.099,0.015,0.084,0.042
210342-010,ARTG SFC,8/7/2020,9/2/2021,0.004,0.006,ND,0.042
210342-011,ARTG SFC #1,8/7/2020,9/2/2021,0.004,0.008,ND,0.036
210342-012,ARTG SFC #3,8/7/2020,9/2/2021,0.003,0.009,ND,0.038
210342-013,CLIS SFC #1,8/7/2020,9/2/2021,0.008,0.007,ND,0.025
210342-014,CLIS SFC #2,8/7/2020,9/2/2021,0.006,0.006,ND,0.027
210342-015,CLIS SFC #3,8/7/2020,9/2/2021,0.005,0.01,ND,0.026
210342-016,WLIS SFC,10/14/2020,9/2/2021,0.082,0.027,0.055,0.065
210342-017,WLIS SFC,10/14/2020,9/2/2021,0.082,0.022,0.06,0.065
210342-018,WLIS SFC,10/14/2020,9/2/2021,0.083,0.023,0.06,0.049
210342-019,EXRX SFC,10/14/2020,9/2/2021,0.132,0.039,0.093,0.075
210342-020,EXRX SFC,10/14/2020,9/2/2021,0.111,0.036,0.075,0.068
210342-021,EXRX SFC,10/14/2020,9/2/2021,0.09,0.029,0.061,0.056
210342-022,ARTG SFC,10/14/2020,9/2/2021,0.075,0.027,0.048,0.057
210342-023,ARTG SFC,10/14/2020,9/2/2021,0.068,0.022,0.046,0.059
210342-024,ARTG SFC,10/14/2020,9/2/2021,0.072,0.025,0.047,0.041
210342-025,ARTG SFC #1,10/28/2020,9/2/2021,0.086,0.014,0.072,0.05
210342-026,ARTG SFC #2,10/28/2020,9/2/2021,0.104,0.012,0.092,0.047
210342-027,ARTG SFC #3,10/28/2020,9/2/2021,0.065,0.007,0.058,0.047
210342-028,WLIS SFC 1,3/17/2021,9/2/2021,0.008,0.006,ND,0.051
210342-029,WLIS SFC 2,3/17/2021,9/2/2021,0.004,0.008,ND,0.035
210342-030,EXRX SFC,3/17/2021,9/2/2021,0.004,0.006,ND,0.039
210342-031,EXRX SFC 1,3/17/2021,9/2/2021,ND,0.005,ND,0.039
210342-032,ARTG SFC,4/29/2021,9/2/2021,0.005,0.005,ND,0.033
210342-033,ARTG SFC,4/29/2021,9/2/2021,ND,0.004,ND,0.03
210342-034,EXRX SFC,6/7/2021,9/2/2021,0.038,0.014,0.024,0.035
210342-035,EXRX SFC,6/7/2021,9/2/2021,0.065,0.021,0.044,0.053
210342-036,ARTG SFC,7/28/2021,9/2/2021,0.004,ND,ND,0.035
210342-037,ARTG SFC,7/28/2021,9/2/2021,0.007,0.006,ND,0.034
210342-038,EXRX SFC,7/28/2021,9/2/2021,0.005,0.005,ND,0.032
210342-039,EXRX SFC,7/28/2021,9/2/2021,0.003,0.007,ND,0.05
210342-040,WLIS SFC,7/28/2021,9/2/2021,0.005,0.004,ND,0.04
210342-041,WLIS SFC,7/28/2021,9/2/2021,0.003,0.004,ND,0.043
